word,freq
pink,1901
bed,1899
lives,1898
dark,1895
space,1892
Good,1882
return,1879
ground,1876
Look,1874
stand,1871
economic,1863
happy,1859
poor,1854
market,1852
yourself,1850
stood,1849
policy,1848
act,1847
building,1843
couple,1840
nearly,1835
effect,1823
cost,1816
works,1816
2012,1815
passed,1815
floor,1809
forward,1804
instead,1802
wants,1802
feeling,1799
list,1796
subject,1796
vote,1794
month,1793
met,1792
However,1790
situation,1788
chance,1787
ways,1786
herself,1782
value,1780
issues,1778
college,1776
Our,1776
worked,1775
court,1771
wait,1770
provide,1769
husband,1767
Maybe,1760
Americans,1759
moved,1758
land,1757
nice,1754
private,1752
force,1751
sat,1751
hit,1748
energy,1746
knows,1743
books,1739
truth,1738
blood,1738
sent,1734
National,1724
beautiful,1721
further,1720
gets,1717
watch,1715
please,1709
speak,1707
City,1703
higher,1703
language,1697
cases,1695
fall,1694
okay,1693
Jack,1693
finally,1690
third,1689
South,1688
points,1685
road,1684
writing,1681
whom,1680
companies,1676
groups,1675
according,1665
beyond,1664
baby,1664
red,1654
period,1653
White,1650
terms,1648
paper,1648
rights,1645
spent,1645
Congress,1642
role,1641
lead,1636
arms,1634
difficult,1631
meeting,1627
Miss,1627
exactly,1626
necessary,1626
decided,1625
student,1625
particular,1625
certainly,1625
nor,1620
guess,1619
available,1616
street,1602
quickly,1597
stuff,1595
Like,1589
died,1589
recent,1587
society,1585
figure,1585
World,1582
learn,1577
oil,1576
knowledge,1576
whatever,1572
character,1569
shot,1566
deep,1566
led,1564
art,1560
simple,1558
wrote,1558
buy,1558
serious,1552
wish,1549
results,1545
yes,1541
continue,1540
North,1539
tax,1539
campaign,1537
countries,1535
practice,1534
fight,1530
cold,1525
changes,1512
involved,1512
James,1511
written,1510
letter,1509
expected,1508
increase,1507
rate,1505
picture,1505
West,1505
article,1504
although,1503
post,1502
killed,1496
individual,1496
fear,1494
media,1494
due,1492
break,1490
received,1489
piece,1487
daughter,1485
First,1485
shows,1477
entire,1473
Right,1470
decision,1470
waiting,1469
General,1469
step,1468
ones,1465
usually,1465
natural,1463
walk,1462
difference,1456
nation,1455
ahead,1455
similar,1454
reached,1453
share,1451
changed,1451
Romney,1449
added,1448
playing,1446
security,1445
followed,1444
original,1444
reported,1440
opened,1439
AND,1435
learned,1434
California,1434
considered,1433
English,1432
giving,1431
window,1428
thus,1426
win,1425
film,1419
foreign,1417
stopped,1415
average,1415
Department,1411
hell,1408
write,1407
sir,1407
race,1405
middle,1405
Get,1403
record,1402
save,1402
offer,1399
eat,1398
economy,1398
beginning,1397
total,1397
culture,1395
minute,1395
People,1395
except,1394
schools,1393
board,1393
doubt,1392
War,1390
pass,1389
industry,1385
evening,1385
drive,1385
teachers,1384
eye,1383
Most,1383
brother,1381
Republican,1381
miles,1380
account,1379
officials,1376
interesting,1374
site,1372
hot,1369
David,1368
agree,1367
movie,1366
moving,1364
federal,1364
color,1363
Although,1360
George,1357
main,1357
worth,1353
supposed,1352
See,1351
particularly,1351
include,1349
complete,1347
bathroom,1343
ten,1339
May,1338
gas,1337
ran,1337
Peter,1336
services,1334
Can,1333
die,1332
amount,1327
Bill,1327
note,1323
stories,1323
price,1322
physical,1322
relationship,1320
series,1320
showed,1318
summer,1315
watching,1314
girls,1313
Tom,1311
lower,1311
begin,1311
follow,1310
Will,1310
perfect,1309
boys,1308
legal,1307
success,1306
various,1305
wall,1304
blue,1304
programs,1304
therefore,1304
career,1304
effort,1302
create,1302
July,1301
science,1300
fun,1300
test,1300
Many,1300
church,1298
walked,1298
British,1297
final,1296
dinner,1294
Thanks,1288
page,1288
learning,1287
built,1287
kill,1286
mouth,1284
model,1282
election,1281
completely,1279
meant,1273
